"transferee_name","transferee_country","fund_name","amount","page","transferee_ein","fund_ein","transferee_address"
"AL Services","Cayman Islands","Ahoy Capital Seed Technology Partners IV, LP",191768,94,"N/A","83-1663248",""
"Plotlogic Pty, Ltd","Australia","Ahoy Capital Seed Technology Partners IV, LP",159806,95,"N/A","83-1663248","12 Thompson Street, Bowen Hills QLD 4006 Australia"
"Rei Do Pitaco Limited","Cayman Islands","Ahoy Capital Seed Technology Partners IV, LP",159806,96,"N/A","83-1663248",""
"Clue By Biowink GmbH","Germany","Balderton Capital VII, SLP",161483,97,"N/A","98-1501043","Adalbertstrabe 7-8 Berlin, 10999 Germany"
"Jokr S.A.R.L.","Luxembourg","Balderton Capital VII, SLP",238846,98,"N/A","98-1501043","6 Rue Adolphe L-1116 Luxembourg"
"Ubits Learning Solutions, S.A.S.","Colombia","OWL ventures III, LP",180202,99,"N/A","83-0910683","Carrea 7 Bis #106-39 Bogota, Colombia"
"Leap Technologies Private Ltd","Singapore","Owl Ventures IV, LP",160001,100,"N/A","85-0853105","11 Collyer Quay #17-00 The Arcade, Singapore 049317"
"Morressier GmbH","Germany","Owl Ventures IV, LP",107700,101,"N/A","85-0853105","Zossener Strasse 55-58 10961 Berlin, Germany"
"Pplingo Holdings, Ltd","British Virgin Islands","Owl Ventures IV, LP",143831,102,"N/A","85-0853105","Vistra Corporate Services Centre, Wickhams Cay Road Town, Tortola, VG1110, British Virgin Islands"
"SNYK, Ltd","United Kingdom","Stripes III Offshore AIV, LP",341712,103,"N/A","98-1257392","50 Broadway, Suite 4, 7th Floor London, UK SW1H ODB"
"Castle Tech GmbH","Germany","Stripes IV Offshore AIlV, LP",116346,104,"N/A","98-1423490","Mariendorfer Damm 1 Berlin, 12099, Germany"
"Cyber Hunters Ltd.","Israel","Stripes IV Offshore AIV, LP",135242,105,"N/A","98-1423490","82 Yigal Alon St Tel Aviv, 6789139, Israel"
"Mobilesson Ltd.","Israel","Stripes IV Offshore AIV, LP",225354,106,"N/A","98-1423490","111 Arlozorov St. Tel Aviv, 6209809, Israel"
"N26 GmbH","Germany","Valar Velocity Fund 2 LP",51126,107,"N/A","84-4987077","Rungestr. 22 (3. Hinterhof) 10179 Berlin, Germany"
"Davanti Group BV","Netherlands","WCP Newcold LP",11612,108,"N/A","47-3997648","Hogeweg 35-E, Zaltbomm 5301 U Netherlands"
"Newcold Argentan Holding BV","Netherlands","WCP Newcold LP",14023,109,"N/A","47-3997648","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands"
"Flixmobility GmbH","Germany","Hedosophia Partners IV L.P.",363408,110,"N/A","N/A","Friedenheimer Brucke 16 80639 Munich Germany"
"Glovoapp23, S.L.","Spain","Hedosophia Partners IV L.P.",321423,111,"N/A","N/A","Calle Pujades, Number 94 Barcelona, Spain"
"Kry International AB","Sweden","Hedosophia Partners IV L.P.",282096,112,"N/A","N/A","Torsgatan 21, 113 21 113 21 Stockholm, Sweden"
"The Power MBA","Spain","Hedosophia Partners IV L.P.",231645,113,"N/A","N/A","Calle Francisco Silvea, 42 Madrid, 28028, Spain"
"Yoco Holdings C1/GBL","South Africa","Hedosophia Partners IV L.P.",225036,114,"N/A","N/A","56 Shortmarket Street Cape Town, 8001, South Africa"
"Opay Limited","Cayman Islands","Hedosophia Partners IV L.P.",148148,115,"N/A","N/A","P.O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road Grand Cayman, KY1-1205 Cayman Islands"
