"transferee_name","fund_name","amount","page","is_direct","transferee_country","transferee_ein","fund_ein","transferee_address","date","fund_nicename","citation","blurb","sector","website","flag","region","URL"
"Plotlogic Pty, Ltd","Ahoy Capital Seed Technology Partners IV, LP",159806,95,FALSE,"Australia","N/A","83-1663248","12 Thompson Street, Bowen Hills QLD 4006 Australia",NA,"Ahoy Capital Seed Technology Partners",NA,"Provides geologic scanning technology to mining concerns.","Other","plotlogic.com",NA,"Australia","https://plotlogic.com/"
"Plotlogic Pty, Ltd","DCVC V, LP",20560,165,FALSE,"Australia","N/A","83-3076877","12 Thompson Street, Bowen Hills QLD 4006 Australia","1/11/2021","Data Collective","https://aum13f.com/firm/dcvc-management-co-llc","Provides geologic scanning technology to mining concerns.","Other","plotlogic.com",NA,"Australia","https://plotlogic.com/"
"Bitpanda GmbH","Valar Fund VII LP",453693,127,FALSE,"Austria","N/A","86-2223256","Stella-Klein-Low Weg 17 1020 Vienna, Austria","10/14/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Cryptocurrency and stock trading app marketed to beginners","Cryptocurrency & Stock","bitpanda.comen",NA,"Europe","https://www.bitpanda.com/en"
"Apollo Topco B.V.","WPEF VIII Feeder LP",365946,142,FALSE,"Belgium","N/A","98-1563212","Antoon Catriestraat, 12 9031 Gent, Belgium","Various","WPEF VIII Feeder LP",NA,"[No verifiable details]","[No verifiable details]",NA,NA,"Europe",NA
"Pplingo Holdings, Ltd","Owl Ventures IV, LP",143831,102,FALSE,"British Virgin Islands","N/A","85-0853105","Vistra Corporate Services Centre, Wickhams Cay Road Town, Tortola, VG1110, British Virgin Islands","Various","Owl Ventures","https://aum13f.com/firm/owl-ventures-llc","[No verifiable details]","[No verifiable details]",NA,NA,"Carribean",NA
"Neo Financial Technologies Inc.","Valar Fund VI LP",349483,135,FALSE,"Canada","N/A","84-4735286","200-632 Cenfluence Way SE Calgary, AB Canada T2G 0G1","2/22/2021","Valar Ventures LLC","https://aum13f.com/firm/valar-ventures-llc?view_all=fund","Mobile-first alternative bank","Banking","neofinancial.com",NA,"North America","https://www.neofinancial.com/"
"ADA Support, Inc.","Firstmark Capital of Ill, L.P.",192594,144,FALSE,"Canada","N/A","84-3808939","371 Front St W, Suite 314 Toronto, ON Canada M5V 3S8","Various","Firstmark Capital","https://aum13f.com/firm/firstmark-capital-llc?view_all=fund","AI customer service agents that automates responses to customer texts, emails, or phonecalls","Gen AI","ada.cx",NA,"North America","https://www.ada.cx/"
"Chargelab Inc.","Root Ventures II, LP",109479,146,FALSE,"Canada","98-1484597","82-4045842","2967 Dundas St. W. #872 Toronto, ON, Canada, M6P 122","2/5/2021","Root Ventures",NA,"Software infrastructure for electric vehicle chargers in North America","Software & Tech","chargelab.co",NA,"North America","https://chargelab.co/"
"Paper Education Company Inc","VIA Seed Technology Partners Platform Fund LP",873406,161,FALSE,"Canada","N/A","47-5591775","279 Sherbrooke St West, Suite 410 Montreal, Quebec, Canada","6/22/2021","VIA Seed Technology Partners",NA,"Live tutoring for K-12 students","Education","paper.co",NA,"North America","https://paper.co/"
"Swift Medical Inc","VIA Seed Technology Partners Platform Fund LP",116914,162,FALSE,"Canada","N/A","47-5591775","1 Richmond Street West, Suite 500 Toronto, Ontario, Canada","6/28/2021","VIA Seed Technology Partners",NA,"Software that helps doctors treat wounds using smartphone cameras","Medicine & Biotech","swiftmedical.com",NA,"North America","https://swiftmedical.com/"
"Skywatch Space Applications Inc","VIA Seed Technology Partners Platform Fund LP",154219,163,FALSE,"Canada","N/A","47-5591775","14 ERB Street Waterloo, Ontario, Canada","5/11/2021","VIA Seed Technology Partners",NA,"Sells geospatial data drawn from near-Earth satellites","Software & Tech","skywatch.com",NA,"North America","https://skywatch.com/"
"Swift Medical Inc","Data Collective IV, L.P.",20729,168,FALSE,"Canada","N/A","81-1924847","1 Richmond Street West, Suite 500 Toronto, Ontario, Canada","6/28/2021","Data Collective","https://aum13f.com/firm/dcvc-management-co-llc","Software that helps doctors treat wounds using smartphone cameras","Medicine & Biotech","swiftmedical.com",NA,"North America","https://swiftmedical.com/"
"Aviron Interactive Inc.","Stripes IV Offshore AIV, LP",94819,169,FALSE,"Canada","N/A","98-1423490","251 Bartley Drive, Unit 2 Toronto, Ontario, Canada, M4A2N7","12/10/2021","Stripes Management","https://aum13f.com/firm/stripes-management-llc","Makes physical fitness and excersise machines","Other","avironactive.com",NA,"North America","https://www.avironactive.com/"
