"","Company_Name","Amount_Dollars","Country","Region","Company_Address","Company_Website","Company_EIN","Description","Sector","Fund_Name","Fund_EIN","Date"
"1","Plotlogic Pty, Ltd",159806,"Australia","Australia","12 Thompson Street, Bowen Hills QLD 4006 Australia","plotlogic.com","N/A","Provides geologic scanning technology to mining concerns.","Other","Ahoy Capital Seed Technology Partners IV, LP","83-1663248",NA
"2","Plotlogic Pty, Ltd",20560,"Australia","Australia","12 Thompson Street, Bowen Hills QLD 4006 Australia","plotlogic.com","N/A","Provides geologic scanning technology to mining concerns.","Other","DCVC V, LP","83-3076877","1/11/2021"
"3","Bitpanda GmbH",453693,"Austria","Europe","Stella-Klein-Low Weg 17 1020 Vienna, Austria","bitpanda.comen","N/A","Cryptocurrency and stock trading app marketed to beginners","Cryptocurrency & Stock","Valar Fund VII LP","86-2223256","10/14/2021"
"4","Apollo Topco B.V.",365946,"Belgium","Europe","Antoon Catriestraat, 12 9031 Gent, Belgium",NA,"N/A","[No verifiable details]","[No verifiable details]","WPEF VIII Feeder LP","98-1563212","Various"
"5","Pplingo Holdings, Ltd",143831,"British Virgin Islands","Carribean","Vistra Corporate Services Centre, Wickhams Cay Road Town, Tortola, VG1110, British Virgin Islands",NA,"N/A","[No verifiable details]","[No verifiable details]","Owl Ventures IV, LP","85-0853105","Various"
"6","Neo Financial Technologies Inc.",349483,"Canada","North America","200-632 Cenfluence Way SE Calgary, AB Canada T2G 0G1","neofinancial.com","N/A","Mobile-first alternative bank","Banking","Valar Fund VI LP","84-4735286","2/22/2021"
"7","ADA Support, Inc.",192594,"Canada","North America","371 Front St W, Suite 314 Toronto, ON Canada M5V 3S8","ada.cx","N/A","AI customer service agents that automates responses to customer texts, emails, or phonecalls","Gen AI","Firstmark Capital of Ill, L.P.","84-3808939","Various"
"8","Chargelab Inc.",109479,"Canada","North America","2967 Dundas St. W. #872 Toronto, ON, Canada, M6P 122","chargelab.co","98-1484597","Software infrastructure for electric vehicle chargers in North America","Software & Tech","Root Ventures II, LP","82-4045842","2/5/2021"
"9","Paper Education Company Inc",873406,"Canada","North America","279 Sherbrooke St West, Suite 410 Montreal, Quebec, Canada","paper.co","N/A","Live tutoring for K-12 students","Education","VIA Seed Technology Partners Platform Fund LP","47-5591775","6/22/2021"
"10","Swift Medical Inc",116914,"Canada","North America","1 Richmond Street West, Suite 500 Toronto, Ontario, Canada","swiftmedical.com","N/A","Software that helps doctors treat wounds using smartphone cameras","Medicine & Biotech","VIA Seed Technology Partners Platform Fund LP","47-5591775","6/28/2021"
"11","Skywatch Space Applications Inc",154219,"Canada","North America","14 ERB Street Waterloo, Ontario, Canada","skywatch.com","N/A","Sells geospatial data drawn from near-Earth satellites","Software & Tech","VIA Seed Technology Partners Platform Fund LP","47-5591775","5/11/2021"
"12","Swift Medical Inc",20729,"Canada","North America","1 Richmond Street West, Suite 500 Toronto, Ontario, Canada","swiftmedical.com","N/A","Software that helps doctors treat wounds using smartphone cameras","Medicine & Biotech","Data Collective IV, L.P.","81-1924847","6/28/2021"
"13","Aviron Interactive Inc.",94819,"Canada","North America","251 Bartley Drive, Unit 2 Toronto, Ontario, Canada, M4A2N7","avironactive.com","N/A","Makes physical fitness and excersise machines","Other","Stripes IV Offshore AIV, LP","98-1423490","12/10/2021"
"14","Aviron Interactive Inc.",64909,"Canada","North America","251 Bartley Drive, Unit 2 Toronto, Ontario, Canada, M4A2N7","avironactive.com","N/A","Makes physical fitness and excersise machines","Other","Stripes V(A) Offshore AIV, LP","98-1576367","12/10/2021"
"15","AL Services",191768,"Cayman Islands","Carribean",NA,NA,"N/A","[No verifiable details]","[No verifiable details]","Ahoy Capital Seed Technology Partners IV, LP","83-1663248","7/14/2021"
"16","Rei Do Pitaco Limited",159806,"Cayman Islands","Carribean",NA,"reidopitaco.bet.br","N/A","Brazilian sports-betting app","Software & Tech","Ahoy Capital Seed Technology Partners IV, LP","83-1663248","4/19/2021"
"17","Opay Limited",148148,"Cayman Islands","Carribean","P.O. Box 31119 Grand Pavilion, Hibiscus Way, 802 West Bay Road Grand Cayman, KY1-1205 Cayman Islands",NA,"N/A","[No verifiable details]","[No verifiable details]","Hedosophia Partners IV L.P.","N/A","6/7/2021"
