Name and taxpayer identification of every transferee,Date(s) of the transfer(s),The aggregate fair market value and basis of the transferred property,Date and control number of any related private letter ruling(s),page
AL Services,7/14/2021,"$191,768",N/A,17
Plotlogic Pty Ltd,1/11/2021,"$159,806",N/A,18
Rei Do Pitaco Limited,4/19/2021,"$159,806",N/A,19
Clue By Biowink GmbH,Various,"$161,483",N/A,20
Jokr S.A.R.L.,Various,"$238,846",N/A,21
"Ubits Learning Solutions, S.A.S.",Various,"$180,202",N/A,22
Leap Technologies Private Ltd,Various,"$160,001",N/A,23
Morressier GmbH,Various,"$107,700",N/A,24
"Pplingo Holdings, Ltd",Various,"$143,831",N/A,25
"SNYK, Ltd",4/26/2021,"$341,712",N/A,26
Castle Tech GmbH,11/17/2021,"$116,346",N/A,27
Cyber Hunters Ltd.,12/6/2021,"$135,242",N/A,28
Mobilesson Ltd.,12/22/2021,"$225,354",N/A,29
N26 GmbH,11/19/2021,"FMV: $51,126",N/A,30
Davanti Group BV,Various,"$11,612",N/A,31
Newcold Argentan Holding BV,Various,"FMV: $14,023",N/A,32
Flixmobility GmbH,6/4/2021,"$363,408",N/A,33
"Glovoapp23, S.L.",4/27/2021,"$321,423",N/A,34
Kry International AB,5/14/2021,"$282,096",N/A,35
The Power MBA,8/25/2021,"$231,645",N/A,36
Yoco Holdings C1/GBL,6/14/2021,"$225,036",N/A,37
Opay Limited,6/7/2021,"$148,148",N/A,38
Tulp Street Pte Limited,6/17/2021,"$206,008",N/A,39
Salt Pay Co Ltd.,3/29/2021,"$343,363",N/A,40
Scalable Capital GmbH,6/21/2021,"$223,832",N/A,41
Swile,7/15/2021,"$253,882",N/A,42
Webull Corporation,6/10/2021,"$333,005",N/A,43
Bought by Many Limited,6/4/2021,"$326,566",N/A,44
Skaleet SA F/K/A Tagpay SA,9/20/2021,"$133,964",N/A,45
Fireblocks Ltd.,2/18/2021,"$477,298",N/A,46
Barbara Sturm Molecular Cosmetics GmbH,3/8/2021,"$235,443",N/A,47
Orca Security Ltd.,8/4/2021,"$239,026",N/A,48
Mobilesson Ltd.,12/22/2021,"$159,359",N/A,49
Bitpanda GmbH,10/14/2021,"FMV: $453,693",N/A,50
Majority AB,Various,"$152,726",N/A,51
Buku Pte. Ltd.,5/27/2021,"$214,945",N/A,52
Anomaly Capital International Ltd,6/1/2022,"$4,000,000",N/A,53
ARCM Feeder Fund IV Ltd.,9/1/2021,"$800,000",N/A,54
CoreView Offshore Fund Ltd,"9/1/2021, 2/1/2022 & 4/1/2022","$5,500,000",N/A,55
Kora Offshore Fund Ltd,"2/1/2021, 4/1/2022 & 5/1/2022","$10,000,000",N/A,56
"Soleus Capital Offshore, Ltd.",5/1/2022,"$15,000,000",N/A,57
Neo Financial Technologies Inc.,2/22/2021,"$349,483",N/A,58
Nufin GmbH,2/1/2021,"FMV: $211,775",N/A,59
Lion TopCo Limited,9/23/2021,"$204,312",N/A,60
Blue Phoenix Holding B.V.,Various,"$413,016",N/A,61
Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS),Various,"$117,696",N/A,62
Rehab and Mental Healthcare Group B.V.,Various,"$579,693",N/A,63
Rehab and Mental Healthcare Group B.V.,Various,"$382,935",N/A,64
Apollo Topco B.V.,Various,"$365,946",N/A,65
Cross Ocean Aviation Fund | (Intl) DAC,Various,"$2,807,638",N/A,66
"ADA Support, Inc.",Various,"$192,594",N/A,67
Synthesia Limited,Various,"$167,368",N/A,68
Chargelab Inc.,2/5/2021,"$109,479",N/A,69
Kuda Technologies Limited,8/3/2021,"$175,130",N/A,70
Shopup PTE. Ltd.,Various,"$287,113",N/A,71
DEFI Holding PTE. Ltd.,Various,"$118,634",N/A,72
Svava Pte. Ltd.,7/7/2021,"$133,450",N/A,73
Newcold Corby Holding II B.V.,Various,"$102,724",N/A,74
Shares S.A.S,Various,"FMV: $137,371",N/A,75
Portofino Technologies AG,Various,"FMV: $148,019",N/A,76
Nufin GmbH,8/31/2021,"FMV: $94,759",N/A,77
Dream Games Holdings Ltd,12/20/2021,"$244,940",N/A,78
Motorway Online Ltd,11/23/2021,"$153,880",N/A,79
Kuda Technologies Limited,2/24/2021,"$266,551",N/A,80
Tangerine Financial Limited,10/15/2021,"FMV: $95,006",N/A,81
Newcold Development BV,12/1/2021,"$1,955",N/A,82
Newcold Rheine Holdings II BV,6/29/2021,"FMV: $12,539",N/A,83
Paper Education Company Inc,6/22/2021,"$873,406",N/A,84
Swift Medical Inc,6/28/2021,"$116,914",N/A,85
Skywatch Space Applications Inc,5/11/2021,"$154,219",N/A,86
PW Real Estate Fund III Feeder LP,7/29/2021,"$395,802",N/A,87
Plotlogic Pty Ltd,1/11/2021,"$20,560",N/A,88
Bizmo Technologies Pte. Ltd.,11/1/2021,"$46,613",N/A,89
Bizmo Technologies Pte. Ltd.,11/1/2021,"$65,272",N/A,90
Swift Medical Inc,6/28/2021,"$20,729",N/A,91
Aviron Interactive Inc.,12/10/2021,"$94,819",N/A,92
Aviron Interactive Inc.,12/10/2021,"$64,909",N/A,93
