"company_id","pages"
"ada_support_inc","144"
"al_services","94"
"anomaly_capital_international_ltd","130"
"apollo_topco_bv","142"
"arcm_feeder_fund_iv_ltd","131"
"aviron_interactive_inc","169, 170"
"barbara_sturm_molecular_cosmetics_gmbh","124"
"bitpanda_gmbh","127"
"bizmo_technologies_pte_ltd","166, 167"
"blue_phoenix_holding_bv","138"
"bought_by_many_limited","121"
"buku_pte_ltd","129"
"castle_tech_gmbh","104"
"chargelab_inc","146"
"clue_by_biowink_gmbh","97"
"coreview_offshore_fund_ltd","132"
"cross_ocean_aviation_fund_|_(intl)_dac","143"
"cyber_hunters_ltd","105"
"davanti_group_bv","108"
"defi_holding_pte_ltd","149"
"dream_games_holdings_ltd","155"
"fireblocks_ltd","123"
"flixmobility_gmbh","110"
"global_equestrian_group_holding_aps_(fka_standbyco_1_aps)","139"
"glovoapp23_sl","111"
"jokr_sarl","98"
"kora_offshore_fund_ltd","133"
"kry_international_ab","112"
"kuda_technologies_limited","147, 157"
"leap_technologies_private_ltd","100"
"lion_topco_limited","137"
"majority_ab","128"
"mobilesson_ltd","106, 126"
"morressier_gmbh","101"
"motorway_online_ltd","156"
"n26_gmbh","107"
"neo_financial_technologies_inc","135"
"newcold_argentan_holding_bv","109"
"newcold_corby_holding_ii_bv","151"
"newcold_development_bv","159"
"newcold_rheine_holdings_ii_bv","160"
"nufin_gmbh","136, 154"
"opay_limited","115"
"orca_security_ltd","125"
"paper_education_company_inc","161"
"plotlogic_pty_ltd","95, 165"
"portofino_technologies_ag","153"
"pplingo_holdings_ltd","102"
"pw_real_estate_fund_iii_feeder_lp","164"
"rehab_and_mental_healthcare_group_bv","140, 141"
"rei_do_pitaco_limited","96"
"salt_pay_co_ltd","117"
"scalable_capital_gmbh","118"
"shares_sas","152"
"shopup_pte_ltd","148"
"skaleet_sa_f_k_a_tagpay_sa","122"
"skywatch_space_applications_inc","163"
"snyk_ltd","103"
"soleus_capital_offshore_ltd","134"
"svava_pte_ltd","150"
"swift_medical_inc","162, 168"
"swile","119"
"synthesia_limited","145"
"tangerine_financial_limited","158"
"the_power_mba","113"
"tulp_street_pte_limited","116"
"ubits_learning_solutions_sas","99"
"webull_corporation","120"
"yoco_holdings_c1_gbl","114"
