"source","dest","value","step_from","step_to"
"WPEF Feeder","Netherlands",1375644,0,1
"Stripes Offshore","Israel",1236279,0,1
"VIA Seed Technology Partners","Canada",1144539,0,1
"Hedosophia Partners","Germany",587240,0,1
"Valar Fund","United Kingdom",441681,0,1
"Stripes Offshore","Germany",351789,0,1
"Valar Fund","Canada",349483,0,1
"Stripes Offshore","United Kingdom",341712,0,1
"Hedosophia Partners","United Kingdom",326566,0,1
"Valar Fund","Germany",306534,0,1
"Marlin Equity","United Kingdom",204312,0,1
"Firstmark Capital","Canada",192594,0,1
"Firstmark Capital","United Kingdom",167368,0,1
"Balderton Capital","Germany",161483,0,1
"Stripes Offshore","Canada",159728,0,1
"Index Ventures Growth","United Kingdom",153880,0,1
"WCP Newcold","Netherlands",142821,0,1
"Root Ventures","Canada",109479,0,1
"Owl Ventures","Germany",107700,0,1
"Sango Capital Partners","United Kingdom",95006,0,1
"Valar Velocity Fund","Germany",51126,0,1
"Data Collective","Canada",20729,0,1
