"fund_name","transferee_name","amount","blurb","sector","website","flag","region","URL"
"Ahoy Capital Seed Technology Partners IV, LP","AL Services",191768,"[No verifiable details]","NA",NA,NA,"South America",NA
"Ahoy Capital Seed Technology Partners IV, LP","Plotlogic Pty, Ltd",159806,"Provides geologic scanning technology to mining concerns.","Other","plotlogic.com",NA,"Australia","https://plotlogic.com/"
"Ahoy Capital Seed Technology Partners IV, LP","Rei Do Pitaco Limited",159806,"Brazilian sports-betting app","Mobile Apps","reidopitaco.bet.br","T","South America","https://reidopitaco.bet.br/"
"Balderton Capital VII, SLP","Clue By Biowink GmbH",161483,"Period tracking app","Mobile Apps","helloclue.com","T","Europe","https://helloclue.com/"
"Balderton Capital VII, SLP","Jokr S.A.R.L.",238846,"Grocery delivery app","Mobile Apps","jokr.com",NA,"Europe","https://www.jokr.com/"
"DCVC V, LP","Plotlogic Pty, Ltd",20560,"Provides geologic scanning technology to mining concerns.","Other","plotlogic.com",NA,"Australia","https://plotlogic.com/"
"Data Collective IV, L.P.","Swift Medical Inc",20729,"Software that helps doctors treat wounds using smartphone cameras","Medicine & Biotech","swiftmedical.com",NA,"North America","https://swiftmedical.com/"
"Firstmark Capital V, L.P.","Synthesia Limited",167368,"AI video generation","Gen AI","synthesia.io",NA,"Europe","https://www.synthesia.io/"
"Firstmark Capital of Ill, L.P.","ADA Support, Inc.",192594,"AI customer service agents that automates responses to customer texts, emails, or phonecalls","Gen AI","ada.cx",NA,"North America","https://www.ada.cx/"
"Hedosophia Partners IV L.P.","Bought by Many Limited",326566,"Health insurance for pets","Other","manypets.com",NA,"Europe","https://manypets.com"
"Hedosophia Partners IV L.P.","Flixmobility GmbH",363408,"Cheap long-distance bus travel in the United States","Other","flixbus.com",NA,"Europe","https://www.flixbus.com/"
"Hedosophia Partners IV L.P.","Glovoapp23, S.L.",321423,"Food delivery app","Mobile Apps","glovoapp.comen",NA,"Europe","https://glovoapp.com/en"
"Hedosophia Partners IV L.P.","Kry International AB",282096,"Telehealth software","Medicine & Biotech","kry.health",NA,"Europe","https://kry.health/"
