"source","dest","value","step_from","step_to"
"Oberlin College","Hedosophia Partners IV L.P.",3258412,0,1
"Oberlin College","Valar Fund VII LP",1766167,0,1
"Oberlin College","Stripes V(A) Offshore AIV, LP",1176035,0,1
"Oberlin College","VIA Seed Technology Partners Platform Fund LP",1144539,0,1
"Oberlin College","Valar Fund VI LP",827809,0,1
"Oberlin College","WPEF VIII Feeder LP",748881,0,1
"Oberlin College","WPEF VII Feeder LP",697389,0,1
"Oberlin College","Stripes IV Offshore AIV, LP",571761,0,1
"Oberlin College","Ahoy Capital Seed Technology Partners IV, LP",511380,0,1
"Oberlin College","WPEF VI Feeder LP",413016,0,1
"Ahoy Capital Seed Technology Partners IV, LP","AL Services",191768,1,2
"WPEF VIII Feeder LP","Apollo Topco B.V.",365946,1,2
"Stripes IV Offshore AIV, LP","Aviron Interactive Inc.",94819,1,2
"Stripes V(A) Offshore AIV, LP","Aviron Interactive Inc.",64909,1,2
"Stripes V(A) Offshore AIV, LP","Barbara Sturm Molecular Cosmetics GmbH",235443,1,2
"Valar Fund VII LP","Bitpanda GmbH",453693,1,2
"Valar Fund VII LP","Bizmo Technologies Pte. Ltd.",65272,1,2
"WPEF VI Feeder LP","Blue Phoenix Holding B.V.",413016,1,2
"Hedosophia Partners IV L.P.","Bought by Many Limited",326566,1,2
"Stripes IV Offshore AIV, LP","Castle Tech GmbH",116346,1,2
"Stripes IV Offshore AIV, LP","Cyber Hunters Ltd.",135242,1,2
"Valar Fund VII LP","DEFI Holding PTE. Ltd.",118634,1,2
"Stripes V(A) Offshore AIV, LP","Fireblocks Ltd.",477298,1,2
"Hedosophia Partners IV L.P.","Flixmobility GmbH",363408,1,2
"WPEF VII Feeder LP","Global Equestrian Group Holding ApS (fka StandbyCo 1 ApS)",117696,1,2
"Hedosophia Partners IV L.P.","Glovoapp23, S.L.",321423,1,2
"Hedosophia Partners IV L.P.","Kry International AB",282096,1,2
"Valar Fund VII LP","Kuda Technologies Limited",175130,1,2
"Valar Fund VI LP","Kuda Technologies Limited",266551,1,2
"Valar Fund VII LP","Majority AB",152726,1,2
"Stripes IV Offshore AIV, LP","Mobilesson Ltd.",225354,1,2
"Stripes V(A) Offshore AIV, LP","Mobilesson Ltd.",159359,1,2
"Valar Fund VI LP","Neo Financial Technologies Inc.",349483,1,2
"Valar Fund VI LP","Nufin GmbH",211775,1,2
"Valar Fund VII LP","Nufin GmbH",94759,1,2
"Hedosophia Partners IV L.P.","Opay Limited",148148,1,2
"Stripes V(A) Offshore AIV, LP","Orca Security Ltd.",239026,1,2
"VIA Seed Technology Partners Platform Fund LP","Paper Education Company Inc",873406,1,2
"Ahoy Capital Seed Technology Partners IV, LP","Plotlogic Pty, Ltd",159806,1,2
"Valar Fund VII LP","Portofino Technologies AG",148019,1,2
"WPEF VII Feeder LP","Rehab and Mental Healthcare Group B.V.",579693,1,2
"WPEF VIII Feeder LP","Rehab and Mental Healthcare Group B.V.",382935,1,2
"Ahoy Capital Seed Technology Partners IV, LP","Rei Do Pitaco Limited",159806,1,2
"Hedosophia Partners IV L.P.","Salt Pay Co Ltd.",343363,1,2
"Hedosophia Partners IV L.P.","Scalable Capital GmbH",223832,1,2
"Valar Fund VII LP","Shares S.A.S",137371,1,2
"Valar Fund VII LP","Shopup PTE. Ltd.",287113,1,2
"VIA Seed Technology Partners Platform Fund LP","Skywatch Space Applications Inc",154219,1,2
"Valar Fund VII LP","Svava Pte. Ltd.",133450,1,2
"VIA Seed Technology Partners Platform Fund LP","Swift Medical Inc",116914,1,2
"Hedosophia Partners IV L.P.","Swile",253882,1,2
"Hedosophia Partners IV L.P.","The Power MBA",231645,1,2
"Hedosophia Partners IV L.P.","Tulp Street Pte Limited",206008,1,2
"Hedosophia Partners IV L.P.","Webull Corporation",333005,1,2
"Hedosophia Partners IV L.P.","Yoco Holdings C1/GBL",225036,1,2
