"source","dest","value","step_from","step_to"
"Stripes V(A) Offshore AIV, LP","Fireblocks Ltd.",477298,1,2
"Stripes V(A) Offshore AIV, LP","Orca Security Ltd.",239026,1,2
"Stripes IV Offshore AIV, LP","Mobilesson Ltd.",225354,1,2
"Stripes V(A) Offshore AIV, LP","Mobilesson Ltd.",159359,1,2
"Stripes IV Offshore AIV, LP","Cyber Hunters Ltd.",135242,1,2
"Stripes IV Offshore AIV, LP","Aviron Interactive Inc.",94819,1,2
"Stripes V(A) Offshore AIV, LP","Aviron Interactive Inc.",64909,1,2
"Stripes V(A) Offshore AIV, LP","Barbara Sturm Molecular Cosmetics GmbH",235443,1,2
"Stripes IV Offshore AIV, LP","Castle Tech GmbH",116346,1,2
"Stripes III Offshore AIV, LP","SNYK, Ltd",341712,1,2
"Stripes Offshore","Stripes III Offshore AIV, LP",341712,0,1
"Stripes Offshore","Stripes IV Offshore AIV, LP",571761,0,1
"Stripes Offshore","Stripes V(A) Offshore AIV, LP",1176035,0,1
