"Company","Country","Investment","Sector","Description","Date"
"<a href=""NA"">Rehab and Mental Healthcare Group B.V.</a>","Netherlands",962628,"NA","[No verifiable details]","Various"
"<a href=""https://paper.co/"">Paper Education Company Inc</a>","Canada",873406,"Education","Live tutoring for K-12 students","6/22/2021"
"<a href=""https://www.fireblocks.com/"">Fireblocks Ltd.</a>","Israel",477298,"Software & Tech","Backend infrastructure for digital money transfers and cryptocurrency","2/18/2021"
"<a href=""https://www.bitpanda.com/en"">Bitpanda GmbH</a>","Austria",453693,"Cryptocurrency & Stock","Cryptocurrency and stock trading app marketed to beginners","10/14/2021"
"<a href=""https://kuda.com/"">Kuda Technologies Limited</a>","United Kingdom",441681,"Banking","Mobile banking app based in Africa","8/3/2021"
"<a href=""NA"">Blue Phoenix Holding B.V.</a>","Netherlands",413016,"NA","[No verifiable details]","Various"
"<a href=""NA"">PW Real Estate Fund III Feeder LP</a>","Jersey",395802,"NA","[No verifiable details]","7/29/2021"
"<a href=""https://connecteam.com/"">Mobilesson Ltd.</a>","Israel",384713,"Software & Tech","HR software","12/22/2021"
"<a href=""https://www.companyweb.be/en/0769685496/apollo-topco"">Apollo Topco B.V.</a>","Belgium",365946,"NA","[No verifiable details]","Various"
"<a href=""https://www.flixbus.com/"">Flixmobility GmbH</a>","Germany",363408,"Other","Cheap long-distance bus travel in the United States","6/4/2021"
"<a href=""https://www.neofinancial.com/"">Neo Financial Technologies Inc.</a>","Canada",349483,"Banking","Mobile-first alternative bank","2/22/2021"
"<a href=""NA"">Salt Pay Co Ltd.</a>","Cayman Islands",343363,"Software & Tech","Digital payment processing","3/29/2021"
"<a href=""https://snyk.io/"">SNYK, Ltd</a>","United Kingdom",341712,"Cybersecurity","AI-first cybersecurity platform","4/26/2021"
"<a href=""NA"">Webull Corporation</a>","Cayman Islands",333005,NA,NA,"6/10/2021"
"<a href=""https://manypets.com"">Bought by Many Limited</a>","United Kingdom",326566,"Other","Health insurance for pets","6/4/2021"
"<a href=""https://glovoapp.com/en"">Glovoapp23, S.L.</a>","Spain",321423,"Mobile Apps","Food delivery app","4/27/2021"
